event_ts,market_id,side,contracts,exec_yes_price,fee,reason
2025-06-19 04:49:19+00:00,551655,no,1.0,0.9715,2.849999999999997e-05,exit_aware_banded
2025-06-19 04:49:23+00:00,551655,no,1.0,0.9715,2.849999999999997e-05,exit_aware_banded
2025-06-19 04:49:37+00:00,551655,no,1.0,0.9715,2.849999999999997e-05,exit_aware_banded
2025-06-19 04:52:03+00:00,551655,no,1.0,0.9605,3.949999999999998e-05,exit_aware_banded
2025-06-19 04:52:03+00:00,551655,no,1.0,0.9695,3.0499999999999972e-05,exit_aware_banded
2025-06-19 04:52:03+00:00,551655,no,1.0,0.9621981132075472,3.7801886792452776e-05,exit_aware_banded
2025-06-19 04:52:25+00:00,551655,no,1.0,0.9621981132075472,3.7801886792452776e-05,exit_aware_banded
2025-06-19 04:52:25+00:00,551655,no,1.0,0.9625,3.7499999999999976e-05,exit_aware_banded
2025-06-19 04:52:25+00:00,551655,no,1.0,0.9621593406593407,3.784065934065928e-05,exit_aware_banded
2025-06-19 04:52:25+00:00,551655,no,1.0,0.9621593406593407,3.784065934065928e-05,exit_aware_banded
2025-06-19 04:53:05+00:00,551655,no,1.0,0.9605,3.949999999999998e-05,exit_aware_banded
2025-06-19 04:53:17+00:00,551655,no,1.0,0.9605,3.949999999999998e-05,exit_aware_banded
2025-06-19 04:53:41+00:00,551655,no,1.0,0.9629397682220191,3.70602317779809e-05,exit_aware_banded
2025-06-19 04:53:41+00:00,551655,no,1.0,0.9605,3.949999999999998e-05,exit_aware_banded
2025-06-19 04:53:51+00:00,551655,no,1.0,0.9605,3.949999999999998e-05,exit_aware_banded
2025-06-19 04:56:43+00:00,551655,no,1.0,0.9605,3.949999999999998e-05,exit_aware_banded
2025-06-19 04:56:59+00:00,551655,no,1.0,0.9605,3.949999999999998e-05,exit_aware_banded
2025-06-19 04:59:57+00:00,551655,no,1.0,0.9605,3.949999999999998e-05,exit_aware_banded
2025-06-19 05:01:01+00:00,551655,no,1.0,0.9605,3.949999999999998e-05,exit_aware_banded
2025-06-19 05:06:03+00:00,507884,no,1.0,0.9295,7.05e-05,exit_aware_banded
2025-06-19 05:06:05+00:00,507884,no,1.0,0.9295,7.05e-05,exit_aware_banded
2025-06-19 05:07:09+00:00,516785,no,1.0,0.7895,0.00021050000000000002,exit_aware_banded
2025-06-19 05:07:09+00:00,516792,yes,2.9000000000000004,0.21049999999999996,0.0006104499999999999,exit_aware_banded
2025-06-19 05:07:09+00:00,516785,no,1.0,0.7895000000000001,0.0002104999999999999,exit_aware_banded
